"site","region","apn","product","part_description","sto_class","min_level","supplier_lead_time","expected_daily_rate","actual_daily_rate","consumed_180d","actual_vs_expected_ratio"
"SHV1","NA","3008764","URL","CLIP DOMINO","02 MED","2.0","42.0","0.0476","0.0278","5.0","0.5838"
"SHV1","NA","3129371","URL","SERVO POWER SUPPLY","02 MED","2.0","42.0","0.0476","0.0278","5.0","0.5838"
"SYR1","NA","1001803","USP","Switch, Auxiliary, Supplementary Protector Accessory","02 MED","1.0","21.0","0.0476","0.0278","5.0","0.5838"
"PDX8","NA","1000078","USP","Sensor, proximity, SME-8M-DS-24V-K-0, 3-M8D","01 HIGH","1.0","15.0","0.0667","0.0389","7.0","0.5835"
"BDL4","NA","10191","USP","THRUST BALL BEARING, 3/4"" ID X 1-5/16"" OD X 9/32"" HT., STEEL","01 HIGH","3.0","35.0","0.0857","0.05","9.0","0.5833"
"GEG1","NA","3022944","USP","CAPTIVE GUARDING SCREWS","01 HIGH","3.0","24.0","0.125","0.0722","13.0","0.5776"
"FSD1","NA","1061778","USP","RT-B1221","01 HIGH","1.0","26.0","0.0385","0.0222","4.0","0.5772"
"SAN3","NA","N24793","USP","Slim Electromechanical Relay, SPDT, 6A,24VDC, PCB Terminal, 34 Series","01 HIGH","1.0","17.0","0.0588","0.0333","6.0","0.5661"
"IGQ1","NA","14325","USP","WIRING TOOL required for insertion/extraction @ terminal strip","02 MED","1.0","20.0","0.05","0.0278","5.0","0.556"
"SHV1","NA","3524277","EcoPac","PHOTOCEL S45-PH-5-B03-PH","01 HIGH","1.0","50.0","0.02","0.0111","2.0","0.555"
"NCL1","EU","132054","USP","ZEBRA - P1046696-146, EXTENDED LIFE DRIVE BELTS, ZE500/ZE511, HTC 8443.99.2550 C","01 HIGH","2.0","14.0","0.1429","0.0778","14.0","0.5446"
"ORF4","NA","3288498","URL","Conveyor Belt","02 MED","2.0","28.0","0.0714","0.0389","7.0","0.5446"
"PVD2","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","02 MED","3.0","14.0","0.2143","0.1167","21.0","0.5446"
"TLH2","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","01 HIGH","1.0","14.0","0.0714","0.0389","7.01","0.5446"
"SHV1","NA","1001803","USP","Switch, Auxiliary, Supplementary Protector Accessory","02 MED","1.0","49.0","0.0204","0.0111","2.0","0.5439"
"TYS1","NA","11424","USP","UNWIND BRAKE BAND CTM PM-BB1030","01 HIGH","1.0","32.0","0.0313","0.0167","3.0","0.5344"
"SHV1","NA","3466261","USP","SHANK THREAD SIZE(M10X1.25), ID 10MM, JAW OPENING W 10MM,","02 MED","1.0","3.0","0.3333","0.1778","32.0","0.5334"
"BWI2","NA","1002613","USP","VALVE, CHECK VALVE,ASSEMBLY:FLOW CONTROL W/ PILOT CHECK VALVE 1/4 TUBE WITH1/8 T","02 MED","1.0","16.0","0.0625","0.0333","6.0","0.5328"
"CLE3","NA","C-3714","EcoPac","SPRING  VL VERDE DI-8 DE-16 L-25","02 MED","1.0","12.0","0.0833","0.0444","8.0","0.5328"
"SHV1","NA","1125233","URL","Siemens SITOP PSU300S Switched Mode DIN Rail Power Supply, 340 → 550V","02 MED","2.0","32.0","0.0625","0.0333","6.0","0.5328"
"SHV1","NA","3524548","EcoPac","STOP 200X18X8","01 HIGH","2.0","32.0","0.0625","0.0333","6.0","0.5328"
"MTN1","NA","3022978","USP","LIDAR SENSOR PICS150-01000 core 1","01 HIGH","1.0","95.0","0.0105","0.0056","1.0","0.532"
