"site","region","apn","product","part_description","sto_class","min_level","supplier_lead_time","expected_daily_rate","actual_daily_rate","consumed_180d","actual_vs_expected_ratio"
"NCL1","EU","3466204","USP","M8X1.25 X 16 MM LG, STROKE 1.5MM, MAX TEMP. 250C, THREAD-LOCKING, CERAMIC BALL","02 MED","0.0","21.0","0.0",,,
"NCL1","EU","3466208","USP","BEARING SPACER; INNER; 20 ID X 27 OD X 5 THICK","01 HIGH","2.0","28.0","0.0714",,,
"NCL1","EU","3466223","USP","243TEETH 32 T5/1215","01 HIGH","0.0","42.0","0.0",,,
"NCL1","EU","3466243","USP","LEFT HORIZONTAL SEAL BAR ASSY","01 HIGH","0.0","70.0","0.0",,,
"NCL1","EU","3466247","USP","KINETIX VP MOTOR CABLE","01 HIGH","0.0","70.0","0.0",,,
"NCL1","EU","3466248","USP","PRECISION LINEAR SHAFT, DIA 12","02 MED","0.0","28.0","0.0",,,
"NCL1","EU","3466251","USP","PIVOT BLOCK - LEFT HORIZONTAL","01 HIGH","0.0","70.0","0.0",,,
"NCL1","EU","3466258","USP","LEFT VERTICAL SEAL BAR ASSY","01 HIGH","0.0","70.0","0.0",,,
"NCL1","EU","3466261","USP","SHANK THREAD SIZE(M10X1.25), ID 10MM, JAW OPENING W 10MM,","02 MED","0.0","21.0","0.0",,,
"NCL1","EU","3546294","USP","Kinetix VP Motor Cable, 4m","01 HIGH","0.0","55.0","0.0",,,
"NCL1","EU","42306","USP","SCANNER KIT DMR-262X-0161","02 MED","0.0","0.0",,,,
"NCL1","EU","54023","USP","TAPER-LOCK BUSHING, 1610 20MM BORE","01 HIGH","0.0","55.0","0.0",,,
"NCL1","EU","61591","USP","TUBE FITTING, M5 TO 4MM","01 HIGH","0.0","56.0","0.0","0.0056","1.0",
"NCL1","EU","72902","USP","kit,motor assy, high speed...","01 HIGH","0.0","55.0","0.0",,,
"NCL1","EU","816958","USP","IN-SIGHT STD. POWER & I/O BREAKOUT CABLE, 5M (15')","01 HIGH","0.0","35.0","0.0",,,
"NCL1","EU","94998","USP","CYLINDER, ISO, PROX, X100MM, DA, MAG C03","02 MED","0.0","49.0","0.0",,,
"NCL1","EU","N45907","USP","Valve flow control one way","01 HIGH","0.0","55.0","0.0",,,
"NCL1","EU","N53951","USP","RADIAL BALL BEARING","01 HIGH","2.0","28.0","0.0714",,,
"NCL1","EU","N53964","USP","NEBV-S1G25-K-10-N-LE25-S6 CONNECTING CABLE","01 HIGH","0.0","56.0","0.0",,,
"NCL1","EU","N53977","USP","I110-E0454 SAFETY SWITCH","01 HIGH","0.0","28.0","0.0",,,
"NCL1","EU","N53990","USP","LINEAR RAIL","01 HIGH","0.0","55.0","0.0",,,
"NCL1","EU","N54020","USP","STOPPER BOLT, M6X1.0, L 20MM, WITH HEX SOCKET TIP, STRAIGHT TYPE, BUMPER URETHAN","01 HIGH","0.0","21.0","0.0",,,
"NCL1","EU","N54024","USP","TAPER-LOCK BUSHING, 1610 22MM BORE","01 HIGH","0.0","55.0","0.0",,,
"OMA2","NA","1000078","USP","Sensor, proximity, SME-8M-DS-24V-K-0, 3-M8D","02 MED","0.0","15.0","0.0","0.0","0.0",
"OMA2","NA","1001191","USP","VPL-B1003F-PJ12AA SERVO MOTOR","02 MED","0.0","21.0","0.0","0.0056","1.0",
"OMA2","NA","1001803","USP","Switch, Auxiliary, Supplementary Protector Accessory","02 MED","0.0",,,,,
"OMA2","NA","1002613","USP","VALVE, CHECK VALVE,ASSEMBLY:FLOW CONTROL W/ PILOT CHECK VALVE 1/4 TUBE WITH1/8 T","02 MED","0.0","16.0","0.0","0.0055","0.99",
"OMA2","NA","10043","USP","PLC, CONTROLLER,PROGRAMMABLE:2-1/2 INHT,3-1/2 INWD,1-1/2 INDP,24 V DCVOLT,2.6 MACURRE","02 MED","0.0","32.0","0.0",,,
"OMA2","NA","1004322","USP","PUSHBUTTON METAL LATCH","02 MED","1.0",,,,,
"OMA2","NA","10076","USP","UNWIND DANCER ARM UNWIND SPRING","02 MED","0.0","23.0","0.0",,,
"OMA2","NA","10086","USP","WASHER: CAPTURE CTM PM-FANU30375","03 LOW","1.0",,,,,
"OMA2","NA","10087","USP","THREADED INSERT CTM C-PM-INS1010","03 LOW","1.0",,,,,
"OMA2","NA","10090","USP","Shoulder Screw,18-8 Stainless Steel,3/8"""" Shoulder Dia., 1"""" Shoulder Length,5/16-18 Thread,PK2","03 LOW","1.0",,,,,
"OMA2","NA","10095","USP","FLANGED BUSHING","03 LOW","1.0",,,,,
"OMA2","NA","10096","USP","WASHER: THRUST, BRONZE","03 LOW","1.0",,,,,
"OMA2","NA","1061778","USP","RT-B1221","02 MED","0.0",,,,,
"OMA2","NA","1063086","USP","SWITCH 2VDC PNP 0.5M LEAD M8 C","03 LOW","0.0","21.0","0.0","0.0","0.0",
"OMA2","NA","1069554","USP","POWER IO CABLE M12 FOR COGNEX CONN MODULE W DB9","02 MED","0.0",,,,,
"OMA2","NA","1071515","USP","Radial/Deep Groove Ball Bearing - Round Bore, 25 mm ID, 42 mm OD, 9 mm Width, Double Shielded, Internal Clearance","02 MED","1.0",,,,,
"OMA2","NA","1071516","USP","REPLACEMENT BELT – 18”W FOR CO","02 MED","1.0",,,,,
"OMA2","NA","1073001","USP","3600 TAMP or SWING HOME SENSOR ASSEMBLY without MOUNT","02 MED","1.0","17.0","0.0588",,,
"OMA2","NA","11082","USP","SMART PACK FILTER REPLACEMENT  (PID)","03 LOW","1.0",,,,,
"OMA2","NA","11147","USP","VHI425A-GV W/ GV4G6","02 MED","0.0","22.0","0.0","0.0111","2.0",
"OMA2","NA","1124355","USP","FIXED DRAW ROLLER, SMART PAC","03 LOW","1.0","100.0","0.01",,,
"OMA2","NA","11424","USP","UNWIND BRAKE BAND CTM PM-BB1030","02 MED","1.0","32.0","0.0313",,,
"OMA2","NA","11519","USP","Zebra Kit Maint Door Open Swch RH/LH","02 MED","0.0","25.0","0.0","0.0","0.0",
"OMA2","NA","14325","USP","WIRING TOOL required for insertion/extraction @ terminal strip","03 LOW","0.0",,,,,
"OMA2","NA","19978","USP","TIME DELAY FUSE, 30A, CLASS J, 300KA, 600VAC","02 MED","1.0",,,,,
"OMA2","NA","226234","USP","SERIAL RS232 TO USB CONVERTER","01 HIGH","1.0","45.0","0.0222",,,
"OMA2","NA","23103","USP","Time Delay, Cylindrical, Fuse, GDC Series, 250VAC, Indicating (5 PK)","03 LOW","1.0",,,,,
"OMA2","NA","3022933","USP","STANDARD HOOD TOP ENTRY","01 HIGH","1.0","38.0","0.0263",,,
"OMA2","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","01 HIGH","3.0","38.0","0.0789",,,
"OMA2","NA","3022935","USP","M8 LOCK WASHERS (OR BLACK OXIDE EQUIVALENT)","01 HIGH","1.0","24.0","0.0417",,,
"OMA2","NA","3022938","USP","CAPTIVE SCREW RETAINER","01 HIGH","1.0","21.0","0.0476",,,
"OMA2","NA","3022941","USP","VERTICAL TOP, POWERSONIC MATED M12 + LBO2K","01 HIGH","2.0","70.0","0.0286",,,
"OMA2","NA","3022942","USP","CLAMP, LOOP NYLON 7/8"" X 1 1/2","01 HIGH","1.0","21.0","0.0476",,,
"OMA2","NA","3022943","USP","HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K","01 HIGH","2.0","70.0","0.0286",,,
"OMA2","NA","3022945","USP","VERTICAL BOTTOM LOAD CELL","01 HIGH","2.0","70.0","0.0286",,,
"OMA2","NA","3022948","USP","FLAT HEAD SOCKET CAP SCREW","01 HIGH","1.0","24.0","0.0417",,,
"OMA2","NA","3022949","USP","MCMASTER ZIP TIE MOUNT","01 HIGH","1.0","24.0","0.0417",,,
"OMA2","NA","3022952","USP","GALVANIZED STEEL , EPDM CUSHIO","01 HIGH","1.0","24.0","0.0417",,,
"OMA2","NA","3022953","USP","GUARDING T-BLOCK","01 HIGH","1.0","24.0","0.0417",,,
"OMA2","NA","3022956","USP","ROTATED CABLE EXIT VERTICAL LOAD CELL HOLDER BLOCK","01 HIGH","1.0","108.0","0.0093",,,
"OMA2","NA","3022959","USP","SHOULDER BOLT, 12MMX40MM, M10","02 MED","1.0","42.0","0.0238",,,
"OMA2","NA","3022961","USP","FRONT PLATE","01 HIGH","1.0","94.0","0.0106",,,
"OMA2","NA","3022967","USP","ZIP TIES, STANDARD","01 HIGH","0.0","24.0","0.0",,,
"OMA2","NA","3022969","USP","VERTICAL CARTRIDGE HEATER","01 HIGH","1.0","66.0","0.0152",,,
"OMA2","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","1.0","108.0","0.0093",,,
"OMA2","NA","3022978","USP","LIDAR SENSOR PICS150-01000 core 1","01 HIGH","0.0","95.0","0.0","0.0056","1.0",
"OMA2","NA","3022981","USP","UNDER JAW BULK HEAD PLATE","01 HIGH","1.0","108.0","0.0093",,,
"OMA2","NA","3022985","USP","ROTATED CABLE EXIT HORIZONTAL LOAD CELL HOLDER BLOCK","01 HIGH","1.0","24.0","0.0417",,,
"OMA2","NA","3022987","USP","IO-LINK MASTER, ETHERNET/IP INTERFACE, TOTAL IN- AND OUTPUTS: 16, 4X 2A OUTPUTS","01 HIGH","1.0","45.0","0.0222",,,
"OMA2","NA","3025738","USP","COATED 9"" FOUR HOLE AIR ASSIST TUBE - MP-211-2230-9","02 MED","1.0","21.0","0.0476",,,
"OMA2","NA","3029777","USP","Ring, Centering sleeve ZBH-7-B","01 HIGH","1.0","28.0","0.0357",,,
"OMA2","NA","3029778","USP","CABLE, NIP ROLLER MOTOR SERVO","01 HIGH","0.0","70.0","0.0",,,
"OMA2","NA","3031139","USP","RIGHT HORIZONTAL HEATER CABLE","01 HIGH","1.0","21.0","0.0476",,,
"OMA2","NA","3032133","USP","COMPRESSION SPRING T=1.4 OD=20 ID=17","01 HIGH","1.0","28.0","0.0357",,,
"OMA2","NA","3033957","USP","Ring, Centering sleeve ZBH-5-B","01 HIGH","1.0","28.0","0.0357",,,
"OMA2","NA","3037848","USP","LEFT VER HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093",,,
"OMA2","NA","3037849","USP","RIGHT VER HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093",,,
"OMA2","NA","3037850","USP","ZIP TIES, STANDARD","01 HIGH","0.0","24.0","0.0",,,
"OMA2","NA","3037851","USP","ALTERNATE PLASTIC P-CLIP (MUST DRILL MOUNTING HOLE TO M6)","01 HIGH","1.0","24.0","0.0417",,,
"OMA2","NA","3037852","USP","LEFT HOR HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093",,,
"OMA2","NA","3043423","USP","FUSE,5 AMP,250V","01 HIGH","1.0","30.0","0.0333",,,
"OMA2","NA","3043436","USP","Kinetix 5700 Servo Drive","01 HIGH","0.0","21.0","0.0",,,
"OMA2","NA","33053","USP","SENSOR CABLE, 5M GREY, M12 FEMALE 8P STRAIGHT TO OPEN ENDED, CONTINUOUS FLEX, PUR-OB","02 MED","0.0",,,,,
"OMA2","NA","3361381","USP","Fork sensor","01 HIGH","1.0","28.0","0.0357",,,
"OMA2","NA","3464199","USP","SENSOR, FIBER OPTIC THIN ZERO SPACE, SIDE VIEW TYP","01 HIGH","1.0","30.0","0.0333",,,
"OMA2","NA","3466127","USP","SCANNER,BARCODE:DM363 SMARTPACK PRESENTATION READER","01 HIGH","1.0","14.0","0.0714",,,
"OMA2","NA","3466132","USP","PNUEMATIC FITTING","01 HIGH","1.0","21.0","0.0476",,,
"OMA2","NA","3466134","USP","ROLLING BEARING  61802-2RS1","01 HIGH","12.0","4.0","3.0",,,
"OMA2","NA","3466138","USP","VERTICAL VPL SERIES, FRAME SIZE 100MM, T WINDING, RATED SPEED 7200-80","01 HIGH","0.0","21.0","0.0",,,
"OMA2","NA","3466140","USP","KINETIX VP LOW INERTIA MOTOR,","01 HIGH","0.0","21.0","0.0",,,
"OMA2","NA","3466144","USP","SERVO DRIVE","01 HIGH","0.0","21.0","0.0",,,
"OMA2","NA","3466145","USP","RIGHT HORIZONTAL SEAL BAR ASSY","01 HIGH","0.0","21.0","0.0",,,
"OMA2","NA","3466147","USP","COMPACT CYLINDER ADN-32-25-I-P-A-S2","01 HIGH","1.0","21.0","0.0476",,,
"OMA2","NA","3466149","USP","PIVOT BLOCK","01 HIGH","1.0","14.0","0.0714",,,
"OMA2","NA","3466152","USP","SENSOR MOUNT","01 HIGH","1.0","21.0","0.0476",,,
"OMA2","NA","3466153","USP","RIGHT VERTICAL SEAL BAR ASSY","01 HIGH","0.0","21.0","0.0",,,
"OMA2","NA","3466158","USP","SPRING PLUNGER, BALL-NOSE HARD","01 HIGH","1.0","4.0","0.25",,,
"OMA2","NA","3466170","USP","DSNU, BORE 25MM, STROKE 100MM, DOUBLE ACTING, LATERAL AIR,","01 HIGH","1.0","21.0","0.0476",,,
"OMA2","NA","3466204","USP","M8X1.25 X 16 MM LG, STROKE 1.5MM, MAX TEMP. 250C, THREAD-LOCKING, CERAMIC BALL","01 HIGH","1.0","4.0","0.25",,,
"OMA2","NA","3466208","USP","BEARING SPACER; INNER; 20 ID X 27 OD X 5 THICK","01 HIGH","1.0","28.0","0.0357",,,
"OMA2","NA","3466223","USP","243TEETH 32 T5/1215","01 HIGH","1.0","11.0","0.0909",,,
"OMA2","NA","3466243","USP","LEFT HORIZONTAL SEAL BAR ASSY","01 HIGH","0.0","21.0","0.0",,,
"OMA2","NA","3466247","USP","KINETIX VP MOTOR CABLE","01 HIGH","0.0","21.0","0.0",,,
"OMA2","NA","3466248","USP","PRECISION LINEAR SHAFT, DIA 12","01 HIGH","1.0","28.0","0.0357",,,
"OMA2","NA","3466251","USP","PIVOT BLOCK - LEFT HORIZONTAL","01 HIGH","1.0","21.0","0.0476",,,
"OMA2","NA","3466258","USP","LEFT VERTICAL SEAL BAR ASSY","01 HIGH","0.0","21.0","0.0",,,
"OMA2","NA","3466261","USP","SHANK THREAD SIZE(M10X1.25), ID 10MM, JAW OPENING W 10MM,","01 HIGH","1.0","3.0","0.3333",,,
"OMA2","NA","3546294","USP","Kinetix VP Motor Cable, 4m","01 HIGH","0.0","90.0","0.0",,,
"OMA2","NA","49225","USP","HEX HEAD CAP SCREW  CTM PM-FAHHSS50557","03 LOW","1.0",,,,,
"OMA2","NA","49960","USP","MDC100-050101 DRIVE","02 MED","0.0","21.0","0.0",,,
"OMA2","NA","61591","USP","TUBE FITTING, M5 TO 4MM","02 MED","1.0",,,,,
"OMA2","NA","72902","USP","kit,motor assy, high speed...","02 MED","0.0","126.0","0.0","0.0","0.0",
"OMA2","NA","76580","USP","PROGRAMMED MAPLE DISPLAY UNIT FOR 3600A APPLICATOR","03 LOW","1.0",,,,,
"OMA2","NA","94998","USP","CYLINDER, ISO, PROX, X100MM, DA, MAG C03","02 MED","0.0","49.0","0.0",,,
"OMA2","NA","N12270","USP","SMC Speed Control Valve: Elbow Fitting, Knob, 1/4 in/1/8 in Valve Body Size, 1/4 in Tube, Meter Out","02 MED","1.0",,,,,
"OMA2","NA","N37377","USP","SC300-2 SHOCK ABSORBER","02 MED","0.0","14.0","0.0","0.0","0.0",
"OMA2","NA","N37843","USP","REWIND CONTROL/POWER ON RELAY FOR 3600A APPLICATORS - PE-RE1017","02 MED","1.0",,,,,
"OMA2","NA","N41977","USP","R SERIES BEARING - .750 X 1.625 X .437","01 HIGH","1.0","14.0","0.0714",,,
"OMA2","NA","N45907","USP","Valve flow control one way","03 LOW","1.0","21.0","0.0476",,,
"OMA2","NA","N53951","USP","RADIAL BALL BEARING","03 LOW","1.0",,,,,
"OMA2","NA","N53964","USP","NEBV-S1G25-K-10-N-LE25-S6 CONNECTING CABLE","02 MED","1.0",,,,,
"OMA2","NA","N53977","USP","I110-E0454 SAFETY SWITCH","02 MED","0.0","30.0","0.0","0.0056","1.0",
"OMA2","NA","N53990","USP","LINEAR RAIL","02 MED","1.0",,,,,
"OMA2","NA","N54024","USP","TAPER-LOCK BUSHING, 1610 22MM BORE","02 MED","1.0",,,,,
"ORD5","NA","1000078","USP","Sensor, proximity, SME-8M-DS-24V-K-0, 3-M8D","01 HIGH","2.0",,,,,
"ORD5","NA","1001191","USP","VPL-B1003F-PJ12AA SERVO MOTOR","02 MED","0.0",,,"0.0111","2.0",
"ORD5","NA","1001803","USP","Switch, Auxiliary, Supplementary Protector Accessory","02 MED","0.0",,,,,
"ORD5","NA","10043","USP","PLC, CONTROLLER,PROGRAMMABLE:2-1/2 INHT,3-1/2 INWD,1-1/2 INDP,24 V DCVOLT,2.6 MACURRE","02 MED","1.0","15.0","0.0667",,,
"ORD5","NA","1004322","USP","PUSHBUTTON METAL LATCH","02 MED","1.0","21.0","0.0476",,,
"ORD5","NA","10076","USP","UNWIND DANCER ARM UNWIND SPRING","03 LOW","1.0","20.0","0.05",,,
"ORD5","NA","10086","USP","WASHER: CAPTURE CTM PM-FANU30375","03 LOW","1.0","20.0","0.05",,,
"ORD5","NA","10087","USP","THREADED INSERT CTM C-PM-INS1010","03 LOW","1.0","20.0","0.05",,,
"ORD5","NA","10090","USP","Shoulder Screw,18-8 Stainless Steel,3/8"""" Shoulder Dia., 1"""" Shoulder Length,5/16-18 Thread,PK2","03 LOW","1.0","21.0","0.0476",,,
"ORD5","NA","10095","USP","FLANGED BUSHING","03 LOW","1.0","8.0","0.125",,,
"ORD5","NA","1061198","USP","OLFLEXÂ® VFD SLIM, 14 AWG/4C, REDUCED DIAMETER VFD CABLE WITH ""SURGE GUARD""","02 MED","2.0","21.0","0.0952",,,
"ORD5","NA","1061526","USP","SERVO DRVE AMP JR_AUTO JR0000549642","02 MED","0.0",,,"0.0167","3.0",
"ORD5","NA","1063086","USP","SWITCH 2VDC PNP 0.5M LEAD M8 C","02 MED","0.0",,,,,
"ORD5","NA","1069554","USP","POWER IO CABLE M12 FOR COGNEX CONN MODULE W DB9","02 MED","0.0","40.0","0.0","0.0","0.0",
"ORD5","NA","1071515","USP","Radial/Deep Groove Ball Bearing - Round Bore, 25 mm ID, 42 mm OD, 9 mm Width, Double Shielded, Internal Clearance","02 MED","2.0","28.0","0.0714",,,
"ORD5","NA","1071516","USP","REPLACEMENT BELT – 18”W FOR CO","01 HIGH","2.0","21.0","0.0952",,,
"ORD5","NA","1073001","USP","3600 TAMP or SWING HOME SENSOR ASSEMBLY without MOUNT","02 MED","0.0","21.0","0.0",,,
"ORD5","NA","11082","USP","SMART PACK FILTER REPLACEMENT  (PID)","03 LOW","1.0","20.0","0.05",,,
"ORD5","NA","1113249","USP","URGU48R1-04090N","02 MED","2.0","17.0","0.1176",,,
"ORD5","NA","11147","USP","VHI425A-GV W/ GV4G6","01 HIGH","0.0",,,,,
"ORD5","NA","1116318","USP","ULTRASONIC SENSOR, PICO+","02 MED","0.0",,,,,
"ORD5","NA","1124355","USP","FIXED DRAW ROLLER, SMART PAC","02 MED","0.0","100.0","0.0","0.0111","2.0",
"ORD5","NA","1124729","USP","Pan and Tilt Camera Mount PTU-BE","01 HIGH","1.0","38.0","0.0263",,,
"ORD5","NA","11424","USP","UNWIND BRAKE BAND CTM PM-BB1030","01 HIGH","1.0","20.0","0.05",,,
"ORD5","NA","14325","USP","WIRING TOOL required for insertion/extraction @ terminal strip","02 MED","1.0","20.0","0.05",,,
"ORD5","NA","19978","USP","TIME DELAY FUSE, 30A, CLASS J, 300KA, 600VAC","02 MED","1.0","21.0","0.0476",,,
"ORD5","NA","2066701","USP","ROLLER, MOVING DRAW ROLLER (SMART PAC)","02 MED","0.0","70.0","0.0",,,
"ORD5","NA","2066703","USP","BEARING BLOCK, LINEAR","02 MED","2.0","35.0","0.0571",,,
"ORD5","NA","23103","USP","Time Delay, Cylindrical, Fuse, GDC Series, 250VAC, Indicating (5 PK)","03 LOW","1.0","15.0","0.0667",,,
"ORD5","NA","3022931","USP","MALE INSERT 5 PIN","01 HIGH","1.0","66.0","0.0152",,,
"ORD5","NA","3022932","USP","SENSOR FLAG PIN, USP TRIGGER GATE","01 HIGH","1.0","108.0","0.0093",,,
"ORD5","NA","3022933","USP","STANDARD HOOD TOP ENTRY","01 HIGH","1.0","38.0","0.0263",,,
"ORD5","NA","3022935","USP","M8 LOCK WASHERS (OR BLACK OXIDE EQUIVALENT)","01 HIGH","1.0","24.0","0.0417",,,
"ORD5","NA","3022938","USP","CAPTIVE SCREW RETAINER","01 HIGH","2.0","21.0","0.0952",,,
"ORD5","NA","3022940","USP","VERTICAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1.0","38.0","0.0263",,,
"ORD5","NA","3022942","USP","CLAMP, LOOP NYLON 7/8"" X 1 1/2","01 HIGH","1.0","21.0","0.0476",,,
"ORD5","NA","3022943","USP","HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K","01 HIGH","2.0","70.0","0.0286",,,
"ORD5","NA","3022944","USP","CAPTIVE GUARDING SCREWS","01 HIGH","2.0","24.0","0.0833",,,
"ORD5","NA","3022947","USP","HORIZONTAL JAW CABLE MANAGEMENT BACKING PLATE","01 HIGH","1.0","38.0","0.0263",,,
"ORD5","NA","3022948","USP","FLAT HEAD SOCKET CAP SCREW","01 HIGH","1.0","24.0","0.0417",,,
"ORD5","NA","3022949","USP","MCMASTER ZIP TIE MOUNT","01 HIGH","1.0","24.0","0.0417",,,
"ORD5","NA","3022951","USP","RTD, PT100, DIA 3MM, L 18MM, 3","01 HIGH","0.0","38.0","0.0",,,
"ORD5","NA","3022952","USP","GALVANIZED STEEL , EPDM CUSHIO","01 HIGH","1.0","24.0","0.0417",,,
"ORD5","NA","3022953","USP","GUARDING T-BLOCK","01 HIGH","2.0","24.0","0.0833",,,
"ORD5","NA","3022956","USP","ROTATED CABLE EXIT VERTICAL LOAD CELL HOLDER BLOCK","01 HIGH","1.0","108.0","0.0093",,,
"ORD5","NA","3022957","USP","WASHER, M5, SST","01 HIGH","2.0","24.0","0.0833",,,
"ORD5","NA","3022958","USP","DIVERT PLATE, TOP","01 HIGH","0.0","94.0","0.0",,,
"ORD5","NA","3022959","USP","SHOULDER BOLT, 12MMX40MM, M10","01 HIGH","1.0","42.0","0.0238",,,
"ORD5","NA","3022961","USP","FRONT PLATE","01 HIGH","1.0","94.0","0.0106",,,
"ORD5","NA","3022962","USP","DIVERT PLATE, LEFT","01 HIGH","0.0","30.0","0.0",,,
"ORD5","NA","3022964","USP","DIVERT PLATE, REJECT COVER","01 HIGH","1.0","94.0","0.0106",,,
"ORD5","NA","3022967","USP","ZIP TIES, STANDARD","01 HIGH","2.0","24.0","0.0833",,,
"ORD5","NA","3022969","USP","VERTICAL CARTRIDGE HEATER","01 HIGH","0.0","66.0","0.0",,,
"ORD5","NA","3022970","USP","CUTTING KNIFE ASSEMBLY","01 HIGH","0.0","108.0","0.0","0.0167","3.0",
"ORD5","NA","3022971","USP","FAST CONNECTION-PEG","01 HIGH","1.0","24.0","0.0417",,,
"ORD5","NA","3022976","USP","FLAT HEAD SOCKET CAP SCREW","01 HIGH","1.0","24.0","0.0417",,,
"ORD5","NA","3022977","USP","GUIDED PNUEMATIC CYLINDER DFM-16-125-B-PPV-A-KF","01 HIGH","0.0","25.0","0.0",,,
"ORD5","NA","3022981","USP","UNDER JAW BULK HEAD PLATE","01 HIGH","1.0","108.0","0.0093",,,
"ORD5","NA","3022984","USP","8MM X 14MM LOW SOCKET HEAD MACHINE SCREWS (OR BLACK OXIDE EQUIVALENT)","01 HIGH","1.0","24.0","0.0417",,,
"ORD5","NA","3022985","USP","ROTATED CABLE EXIT HORIZONTAL LOAD CELL HOLDER BLOCK","01 HIGH","0.0","24.0","0.0",,,
"ORD5","NA","3022987","USP","IO-LINK MASTER, ETHERNET/IP INTERFACE, TOTAL IN- AND OUTPUTS: 16, 4X 2A OUTPUTS","01 HIGH","0.0","45.0","0.0","0.0","0.0",
"ORD5","NA","3025738","USP","COATED 9"" FOUR HOLE AIR ASSIST TUBE - MP-211-2230-9","01 HIGH","1.0","1.0","1.0",,,
"ORD5","NA","3029777","USP","Ring, Centering sleeve ZBH-7-B","01 HIGH","1.0","28.0","0.0357",,,
"ORD5","NA","3029778","USP","CABLE, NIP ROLLER MOTOR SERVO","01 HIGH","0.0","70.0","0.0",,,
"ORD5","NA","3031139","USP","RIGHT HORIZONTAL HEATER CABLE","01 HIGH","1.0","21.0","0.0476",,,
"ORD5","NA","3032133","USP","COMPRESSION SPRING T=1.4 OD=20 ID=17","01 HIGH","1.0","28.0","0.0357",,,
"ORD5","NA","3033957","USP","Ring, Centering sleeve ZBH-5-B","01 HIGH","1.0","28.0","0.0357",,,
"ORD5","NA","3037850","USP","ZIP TIES, STANDARD","01 HIGH","0.0","24.0","0.0",,,
"ORD5","NA","3037851","USP","ALTERNATE PLASTIC P-CLIP (MUST DRILL MOUNTING HOLE TO M6)","01 HIGH","1.0","24.0","0.0417",,,
"ORD5","NA","3037852","USP","LEFT HOR HEATER CABLE ASSY","01 HIGH","1.0","108.0","0.0093",,,
"ORD5","NA","3043368","USP","Sensor Cable, 5m Grey, M12 Female 4P Angled to Open Ended, Continuous Flex, PUR","01 HIGH","1.0","21.0","0.0476",,,
"ORD5","NA","3043405","USP","SENSOR CABLE FEMALE 5-POLE M12 STRAIGHT A CODED TO OPEN END PUR BLACK 5M","02 MED","1.0","21.0","0.0476",,,
"ORD5","NA","3043423","USP","FUSE,5 AMP,250V","01 HIGH","1.0","30.0","0.0333",,,
"ORD5","NA","3043436","USP","Kinetix 5700 Servo Drive","02 MED","0.0","21.0","0.0","0.0056","1.0",
"ORD5","NA","3208459","USP","FIELD ATTACHABLE CONNECTOR","01 HIGH","1.0","21.0","0.0476",,,
"ORD5","NA","33053","USP","SENSOR CABLE, 5M GREY, M12 FEMALE 8P STRAIGHT TO OPEN ENDED, CONTINUOUS FLEX, PUR-OB","02 MED","1.0","21.0","0.0476",,,
"ORD5","NA","3361381","USP","Fork sensor","01 HIGH","0.0","28.0","0.0",,,
"ORD5","NA","3464199","USP","SENSOR, FIBER OPTIC THIN ZERO SPACE, SIDE VIEW TYP","01 HIGH","1.0","30.0","0.0333",,,
"ORD5","NA","3466132","USP","PNUEMATIC FITTING","01 HIGH","1.0","21.0","0.0476",,,
"ORD5","NA","3466134","USP","ROLLING BEARING  61802-2RS1","01 HIGH","2.0","4.0","0.5",,,
"ORD5","NA","3466138","USP","VERTICAL VPL SERIES, FRAME SIZE 100MM, T WINDING, RATED SPEED 7200-80","01 HIGH","1.0","21.0","0.0476",,,
"ORD5","NA","3466140","USP","KINETIX VP LOW INERTIA MOTOR,","01 HIGH","1.0","21.0","0.0476",,,
"ORD5","NA","3466145","USP","RIGHT HORIZONTAL SEAL BAR ASSY","01 HIGH","0.0","21.0","0.0",,,
"ORD5","NA","3466147","USP","COMPACT CYLINDER ADN-32-25-I-P-A-S2","01 HIGH","1.0","21.0","0.0476",,,
"ORD5","NA","3466149","USP","PIVOT BLOCK","01 HIGH","0.0","14.0","0.0","0.0056","1.0",
"ORD5","NA","3466152","USP","SENSOR MOUNT","01 HIGH","2.0","21.0","0.0952",,,
"ORD5","NA","3466153","USP","RIGHT VERTICAL SEAL BAR ASSY","01 HIGH","0.0","21.0","0.0",,,
"ORD5","NA","3466158","USP","SPRING PLUNGER, BALL-NOSE HARD","01 HIGH","2.0","4.0","0.5",,,
"ORD5","NA","3466170","USP","DSNU, BORE 25MM, STROKE 100MM, DOUBLE ACTING, LATERAL AIR,","01 HIGH","1.0","21.0","0.0476",,,
"ORD5","NA","3466191","USP","ROD COUPLER, M10X1.25, STEEL (","01 HIGH","1.0","21.0","0.0476",,,
