"site","region","apn","product","part_description","sto_class","consumed_30d","consumed_60d","consumed_90d","consumed_150d","consumed_all","rate_30d","rate_60d","rate_90d","rate_150d","days_with_consumption_150d"
"AGS1","NA","N54020","USP","STOPPER BOLT, M6X1.0, L 20MM, WITH HEX SOCKET TIP, STRAIGHT TYPE, BUMPER URETHAN","02 MED","0.0","0.0","4.0","4.0","4.0","0.0","0.0","0.0444","0.0267","1"
"AKC1","NA","1000078","USP","Sensor, proximity, SME-8M-DS-24V-K-0, 3-M8D","01 HIGH","1.01","3.0100000000000002","3.0100000000000002","3.0100000000000002","3.0100000000000002","0.0337","0.0502","0.0334","0.0201","10"
"AKC1","NA","1001803","USP","Switch, Auxiliary, Supplementary Protector Accessory","01 HIGH","0.0","1.0","1.0","1.0","2.0","0.0","0.0167","0.0111","0.0067","1"
"AKC1","NA","1002613","USP","VALVE, CHECK VALVE,ASSEMBLY:FLOW CONTROL W/ PILOT CHECK VALVE 1/4 TUBE WITH1/8 T","01 HIGH","0.0","5.0","5.0","5.0","5.0","0.0","0.0833","0.0556","0.0333","1"
"AKC1","NA","10096","USP","WASHER: THRUST, BRONZE","02 MED","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0"
"AKC1","NA","10191","USP","THRUST BALL BEARING, 3/4"" ID X 1-5/16"" OD X 9/32"" HT., STEEL","01 HIGH","0.0","2.0","3.0","3.0","6.0","0.0","0.0333","0.0333","0.02","3"
"AKC1","NA","11409","USP","TAMPA","02 MED","0.0","1.0","1.0","1.0","2.0","0.0","0.0167","0.0111","0.0067","1"
"AKC1","NA","226234","USP","SERIAL RS232 TO USB CONVERTER","01 HIGH","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0"
"AKC1","NA","3015434","USP","SWIVEL GRIPPER HEAD","01 HIGH","8.0","12.0","15.0","15.0","15.0","0.2667","0.2","0.1667","0.1","12"
"AKC1","NA","3022934","USP","SMC Shock Absorber, RBC1007, 46.7 mm Body Length, 63.7 mm Body Length, M10 x 1 Thread Size","01 HIGH","5.0","5.0","5.0","5.0","5.0","0.1667","0.0833","0.0556","0.0333","3"
"AKC1","NA","3022978","USP","LIDAR SENSOR PICS150-01000 core 1","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"AKC1","NA","3022982","USP","LEFT ISOLATOR PLATE","01 HIGH","1.0","2.0","3.0","3.0","3.0","0.0333","0.0333","0.0333","0.02","3"
"AKC1","NA","3031139","USP","RIGHT HORIZONTAL HEATER CABLE","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"AKC1","NA","3037848","USP","LEFT VER HEATER CABLE ASSY","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"AKC1","NA","3043388","USP","SENSOR REED PARA CILINDRO","01 HIGH","2.01","2.01","2.01","2.01","2.01","0.067","0.0335","0.0223","0.0134","5"
"AKC1","NA","3466258","USP","LEFT VERTICAL SEAL BAR ASSY","01 HIGH","1.0","1.0","1.0","1.0","1.0","0.0333","0.0167","0.0111","0.0067","1"
"AKC1","NA","49345","USP","ZEBRA AIT PART KIT PRINTHEAD 300 DPI ZE521 RH & LH","01 HIGH","1.0","2.0","2.0","3.0","9.0","0.0333","0.0333","0.0222","0.02","6"
"AUS2","NA","10191","USP","THRUST BALL BEARING, 3/4"" ID X 1-5/16"" OD X 9/32"" HT., STEEL","01 HIGH","0.0","0.0","2.0","3.0","5.0","0.0","0.0","0.0222","0.02","2"
"AUS2","NA","10683","USP","WHEEL, WHEEL: LOAD ASSEMBLY","01 HIGH","0.0","0.0","0.0","2.0","7.0","0.0","0.0","0.0","0.0133","2"
