"site","region","apn","product","part_description","sto_class","req_number","req_qty","req_date","days_open"
"SAN3","NA","3031139","USP","RIGHT HORIZONTAL HEATER CABLE","02 MED","1670435","8.0","2026-01-23","189"
"ELP1","NA","1002613","USP","VALVE, CHECK VALVE,ASSEMBLY:FLOW CONTROL W/ PILOT CHECK VALVE 1/4 TUBE WITH1/8 T","02 MED","1674075","2.0","2026-01-27","185"
"ELP1","NA","10076","USP","UNWIND DANCER ARM UNWIND SPRING","02 MED","1674075","2.0","2026-01-27","185"
"ELP1","NA","10086","USP","WASHER: CAPTURE CTM PM-FANU30375","03 LOW","1674075","2.0","2026-01-27","185"
"ELP1","NA","10087","USP","THREADED INSERT CTM C-PM-INS1010","03 LOW","1674075","2.0","2026-01-27","185"
"ELP1","NA","10090","USP","Shoulder Screw,18-8 Stainless Steel,3/8"""" Shoulder Dia., 1"""" Shoulder Length,5/16-18 Thread,PK2","02 MED","1674075","3.0","2026-01-27","185"
"ELP1","NA","10096","USP","WASHER: THRUST, BRONZE","03 LOW","1674075","3.0","2026-01-27","185"
"ELP1","NA","10191","USP","THRUST BALL BEARING, 3/4"" ID X 1-5/16"" OD X 9/32"" HT., STEEL","02 MED","1674075","2.0","2026-01-27","185"
"ELP1","NA","1073001","USP","3600 TAMP or SWING HOME SENSOR ASSEMBLY without MOUNT","02 MED","1674075","2.0","2026-01-27","185"
"ELP1","NA","11082","USP","SMART PACK FILTER REPLACEMENT  (PID)","02 MED","1674075","2.0","2026-01-27","185"
"ELP1","NA","1113249","USP","URGU48R1-04090N","02 MED","1674075","2.0","2026-01-27","185"
"ELP1","NA","11409","USP","TAMPA","02 MED","1674075","2.0","2026-01-27","185"
"ELP1","NA","11424","USP","UNWIND BRAKE BAND CTM PM-BB1030","02 MED","1674075","2.0","2026-01-27","185"
"ELP1","NA","11519","USP","Zebra Kit Maint Door Open Swch RH/LH","02 MED","1674075","2.0","2026-01-27","185"
"ELP1","NA","14325","USP","WIRING TOOL required for insertion/extraction @ terminal strip","03 LOW","1674075","2.0","2026-01-27","185"
"ELP1","NA","49225","USP","HEX HEAD CAP SCREW  CTM PM-FAHHSS50557","03 LOW","1674075","2.0","2026-01-27","185"
"ELP1","NA","49346","USP","ZEBRA AIT PART KIT PLATEN, PINCH, & PEEL ROLLERS ZE521 RH & LH","02 MED","1674075","2.0","2026-01-27","185"
"ELP1","NA","76580","USP","PROGRAMMED MAPLE DISPLAY UNIT FOR 3600A APPLICATOR","02 MED","1674075","2.0","2026-01-27","185"
"ELP1","NA","N12270","USP","SMC Speed Control Valve: Elbow Fitting, Knob, 1/4 in/1/8 in Valve Body Size, 1/4 in Tube, Meter Out","02 MED","1674075","2.0","2026-01-27","185"
"ELP1","NA","N24793","USP","Slim Electromechanical Relay, SPDT, 6A,24VDC, PCB Terminal, 34 Series","01 HIGH","1674075","2.0","2026-01-27","185"
"ELP1","NA","N37843","USP","REWIND CONTROL/POWER ON RELAY FOR 3600A APPLICATORS - PE-RE1017","02 MED","1674075","2.0","2026-01-27","185"
"RIC4","NA","3022956","USP","ROTATED CABLE EXIT VERTICAL LOAD CELL HOLDER BLOCK","01 HIGH","1677457","2.0","2026-01-29","183"
"ORF4","NA","49346","USP","ZEBRA AIT PART KIT PLATEN, PINCH, & PEEL ROLLERS ZE521 RH & LH","02 MED","1682285","1.0","2026-02-03","178"
