Region,Ship To Company Code,Order Number,Line Number,APN,APN Description,APN Category,Supplier ID,Supplier Name,Supplier Catalog Part Number,Site,Site Description,Site Location,Order Date,Approval Date,Receipt Date,Due Date,Due Date Based On Lead Time,Criticality,Lead Time Final,Unit Price,Currency,Goods Or Services,Order Status,Line Status,Coupa PO Error Detail,Coupa Integration Status,Coupa Transmission Status,Req Created By ,Ship To Address,Status,Supplier Lead Time,Past Due Days,Ordered Qty,Received Qty,Remaining Qty,OH Qty,Max Qty,Min Qty,Outstanding Amount
NA,2D,2D-22139667,2,49344,"ZEBRA ZE521-63 RH, ETHERNET PRINT ENGINE",PRINTER,6470518-4521,INTELLIGRATED SYSTEMS LLC,90003814,SAV4,"AR Sortable FC - Pooler, GA",NAMERICA,7/28/26 0:00,7/28/26 0:00,,11/8/26 0:00,8/20/26 0:00,01 HIGH,23,6041.15,USD,Goods,A,A,,,sent_via_cxml,EAM,"SAV4 FC Sortable (Pent Wentworth, GA)",issued,23,0,1,0,1,0,2,1,6041.15
NA,2D,2D-20700592,1,3022941,"VERTICAL TOP, POWERSONIC MATED M12 + LBO2K",ASSEMBLY,24216849-758186,ATS CORPORATION,10306182,MTN1,"AR Sortable FC - Wilmington, DE",NAMERICA,3/17/26 0:00,3/17/26 0:00,,5/13/26 0:00,7/21/26 0:00,01 HIGH,126,1445,USD,Goods,A,A,,,sent_via_email,EAM,MTN1 Offsite,issued,126,10,4,0,4,0,2,1,5780
NA,2D,2D-20700592,3,3022945,"VERTICAL BOT, POWERSONIC MATED M12 + LBO2K",ASSEMBLY,24216849-758186,ATS CORPORATION,10306180,MTN1,"AR Sortable FC - Wilmington, DE",NAMERICA,3/17/26 0:00,3/17/26 0:00,,5/13/26 0:00,7/21/26 0:00,01 HIGH,126,1445,USD,Goods,A,A,,,sent_via_email,EAM,MTN1 Offsite,issued,126,10,4,0,4,0,4,2,5780
NA,2D,2D-20700592,3,3022945,"VERTICAL BOTTOM, POWERSONIC MATED M12 + LBO2K",ASSEMBLY,24216849-758186,ATS CORPORATION,10306180,MTN1,"AR Sortable FC - Wilmington, DE",NAMERICA,3/17/26 0:00,3/17/26 0:00,,5/13/26 0:00,7/21/26 0:00,01 HIGH,126,1445,USD,Goods,A,A,,,sent_via_email,EAM,MTN1 Offsite,issued,126,10,4,0,4,0,4,2,5780
NA,2D,2D-20091707,1,49344,"ZEBRA ZE521-63 RH, ETHERNET PRINT ENGINE",PRINTER,17048148-83423,CTM LABELING SYSTEMS,PE-ZE52163-R010000Z-AMZ,SHV1,"AR Sortable FC - Shreveport, LA",NAMERICA,1/19/26 0:00,1/19/26 0:00,,2/19/26 0:00,2/9/26 0:00,02 MED,21,4945,USD,Goods,A,A,,,sent_via_email,EAM,SHV1 OFFSITE,issued,21,172,1,0,1,1,2,1,4945
NA,2D,2D-20281291,1,49344,"ZEBRA ZE521-63 RH, ETHERNET PRINT ENGINE",PRINTER,17048148-83423,CTM LABELING SYSTEMS,PE-ZE52163-R010000Z-AMZ,SHV1,"AR Sortable FC - Shreveport, LA",NAMERICA,2/5/26 0:00,2/5/26 0:00,,3/8/26 0:00,2/26/26 0:00,02 MED,21,4945,USD,Goods,A,A,,,sent_via_email,EAM,SHV1 OFFSITE,issued,21,155,1,0,1,1,2,1,4945
NA,75,5Z-22161766,2,3466258,LEFT VERTICAL SEAL BAR ASSY,HEATER,28177078-800256,ATS CORPORATION,126022550,YYC4,"AR Sortable FC - Calgary, AB",NAMERICA,7/30/26 0:00,7/30/26 0:00,,8/10/26 0:00,10/1/26 0:00,01 HIGH,63,2423.94,USD,Goods,A,A,,,sent_via_email,EAM,YYC4 (75) Offsite Service Master,issued,70,0,2,0,2,0,2,0,4847.88
NA,2D,2D-21589234,3,3466144,SERVO DRIVE,MOTOR,24216849-758186,ATS CORPORATION,6224072,BDL4,"AR Sortable FC - Windsor, CT",NAMERICA,6/8/26 0:00,6/8/26 0:00,,9/7/26 0:00,8/17/26 0:00,01 HIGH,70,4675,USD,Goods,A,A,,,sent_via_email,EAM,BDL4 (2D) OFFSITE (NON INVENTORY),issued,21,0,1,0,1,0,1,0,4675
NA,2D,2D-21756268,1,3466145,RIGHT HORIZONTAL SEAL BAR ASSY,HEATER,24216849-758186,ATS CORPORATION,126029565,SYR1,"AR Sortable FC - Clay, NY",NAMERICA,6/22/26 0:00,6/22/26 0:00,,8/28/26 0:00,8/24/26 0:00,01 HIGH,63,4675,USD,Goods,A,A,,,sent_via_email,EAM,SYR1 Offsite Lindenmeyr Munroe,issued,63,0,1,0,1,0,1,0,4675
NA,2D,2D-21765677,1,3466144,SERVO DRIVE,MOTOR,24216849-758186,ATS CORPORATION,6224072,DAB2,"AR Sortable FC - Daytona Beach, FL",NAMERICA,6/23/26 0:00,6/23/26 0:00,,7/14/26 0:00,9/1/26 0:00,01 HIGH,70,4675,USD,Goods,A,A,,,sent_via_email,EAM,"DAB2 Sortable FC (Daytona, FL, US)",issued,21,0,1,0,1,0,1,0,4675
NA,2D,2D-22062459,1,3466144,SERVO DRIVE,MOTOR,24216849-758186,ATS CORPORATION,6224072,RIC4,"AR Sortable FC - Richmond, VA",NAMERICA,7/21/26 0:00,7/21/26 0:00,,9/29/26 0:00,9/29/26 0:00,01 HIGH,70,4675,USD,Goods,A,A,,,sent_via_email,EAM,RIC4 Offsite Fastenal,issued,21,0,1,0,1,0,2,1,4675
NA,2D,2D-21350259,1,3022943,"HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K",ASSEMBLY,24216849-758186,ATS CORPORATION,10306177,BOS3,"AR Sortable FC - North Andover, MA",NAMERICA,5/15/26 0:00,5/15/26 0:00,,7/16/26 0:00,9/18/26 0:00,01 HIGH,126,1550,USD,Goods,A,A,,,sent_via_email,EAM,"BOS3 Offsite Lindenmeyr Munroe (Londonderry, NH)",issued,126,0,3,0,3,1,4,2,4650
NA,2D,2D-21350259,3,3022950,"HORIZONTAL FRONT, POWERSONIC MATED M12 + LBO3K",ASSEMBLY,24216849-758186,ATS CORPORATION,10306173,BOS3,"AR Sortable FC - North Andover, MA",NAMERICA,5/15/26 0:00,5/15/26 0:00,,7/16/26 0:00,9/18/26 0:00,01 HIGH,126,1550,USD,Goods,A,A,,,sent_via_email,EAM,"BOS3 Offsite Lindenmeyr Munroe (Londonderry, NH)",issued,126,0,3,0,3,0,4,2,4650
INTL,R5,R5-22132184,2,3022943,"HORIZONTAL REAR, POWERSONIC MATED M12 + LBO3K",ASSEMBLY,105530158-1243146,ATS AUTOMATION TOOLING SYSTEMS GMBH,10306177,POZ2,AR Sortable 450 465k sqft G+3 Gen10,EUROPE,7/28/26 0:00,7/28/26 0:00,,12/15/26 0:00,12/15/26 0:00,01 HIGH,140,1503.63,EUR,Goods,A,A,,,sent_via_email,EAM,"POZ2 FC Non Inventory (Chociule, Poland)",issued,140,0,3,0,3,1,4,2,4510.89
INTL,R5,R5-22132184,3,3022950,"HORIZONTAL FRONT, POWERSONIC MATED M12 + LBO3K",ASSEMBLY,105530158-1243146,ATS AUTOMATION TOOLING SYSTEMS GMBH,10306173,POZ2,AR Sortable 450 465k sqft G+3 Gen10,EUROPE,7/28/26 0:00,7/28/26 0:00,,12/15/26 0:00,12/15/26 0:00,01 HIGH,140,1503.63,EUR,Goods,A,A,,,sent_via_email,EAM,"POZ2 FC Non Inventory (Chociule, Poland)",issued,140,0,3,0,3,1,4,2,4510.89
NA,2D,2D-20120082,1,49344,"ZEBRA ZE521-63 RH, ETHERNET PRINT ENGINE",PRINTER,17048148-83423,CTM LABELING SYSTEMS,PE-ZE52163-R010000Z-AMZ,TLH2,"AR Sortable FC - Tallahassee, FL",NAMERICA,1/21/26 0:00,1/21/26 0:00,,4/15/26 0:00,2/11/26 0:00,01 HIGH,21,4945,USD,Goods,A,A,,,sent_via_email,EAM,"TLH2 Sortable FC (Tallahassee, FL, US)",issued,21,170,0.9039,0,0.9039,0.9039,1,0,4469.7855
